review,sentiment
I love this product and it works perfectly,1
Amazing quality and excellent performance,1
Very happy with this purchase,1
The product is fantastic and useful,1
Excellent service and fast delivery,1
Great value for the money,1
I am extremely satisfied with this product,1
Highly recommend this to everyone,1
The quality is very good and reliable,1
This is one of the best products I have bought,1

I hate this product completely,0
Worst experience ever with this product,0
Very bad quality and disappointing,0
The product stopped working after one day,0
Terrible service and poor quality,0
I am not satisfied with this purchase,0
This is a waste of money,0
Extremely bad and frustrating experience,0
The product quality is horrible,0
Not worth buying at all,0
